Name                                                                        Stmts   Miss  Cover
-----------------------------------------------------------------------------------------------
/home/olivier/workspace/PyPoser/src/pypos3d/__init__.py                         4      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/ChannelImportAnalysis.py     353     12    97%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/Figure.py                    999     46    95%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/GeomCustom.py                170      8    95%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/PoserBasic.py                992     26    97%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/PoserFile.py                 644     28    96%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/PoserMeshed.py               805     39    95%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/SimpleAttribut.py            285     11    96%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/StructuredAttribut.py       1355     92    93%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/__init__.py                    4      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/propslim/MxBasic.py               212      7    97%
/home/olivier/workspace/PyPoser/src/pypos3d/propslim/MxStdModel.py            344     26    92%
/home/olivier/workspace/PyPoser/src/pypos3d/propslim/PropSlim.py              203     12    94%
/home/olivier/workspace/PyPoser/src/pypos3d/propslim/__init__.py               12      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/GeomGroup.py                 911     39    96%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/PaveList2D.py                 66      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/PoserFileParser.py           112      8    93%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/Repere.py                     63      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/WFBasic.py                  1190     61    95%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/WaveGeom.py                 1279     63    95%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/__init__.py                    4      0   100%
-----------------------------------------------------------------------------------------------
TOTAL                                                                       10007    478    95%
